player,FGM,FGA,FTM,FTA,TPM,REB,AST,STL,BLK,PTS,TO
Devin Booker,7.760056,18.05,4.969979,5.74,2.68,3.89,4.78,0.84,0.26,23.16,3.61
Jamal Murray,5.7799573,13.13,2.809986,3.14,2.1,3.65,3.36,0.97,0.34,16.47,2.02
Josh Richardson,4.5499954,10.46,1.369998,1.66,1.67,3.4,2.68,1.32,0.84,12.13,1.55
Paul Millsap,5.0500187,11.23,3.0499938,4.06,1.03,6.68,2.58,1.02,1.06,14.18,1.91
Serge Ibaka,4.7299896,9.84,1.29,1.6,1.25,6.15,0.75,0.36,1.4,11.98,1.17
Darren Collison,4.3400376,9.14,1.6899922,1.94,1.25,2.48,4.47,1.21,0.16,11.62,1.24
Kyle Anderson,3.730006,7.85,1.6899971,2.29,0.52,6.03,2.82,1.45,0.73,9.67,1.49
Jonas Valanciunas,4.96003,8.81,2.369994,2.98,0.18,7.9,0.93,0.36,0.87,12.46,1.37
Thaddeus Young,5.1400388,10.66,0.700002,1.16,0.8,6.23,1.79,1.54,0.43,11.79,1.32
Danilo Gallinari,5.1400093,12.47,4.560012,5.1,1.97,4.85,1.97,0.61,0.37,16.82,1.27
Evan Fournier,6.630053,14.9,2.970001,3.55,2.35,3.06,2.93,0.9,0.16,18.58,1.72
Lauri Markkanen,5.0200036,11.42,2.0100052,2.38,2.18,6.66,1.02,0.51,0.55,14.24,1.1
Tim Hardaway Jr.,6.7900044,15.69,2.749988,3.4,2.6,3.58,2.59,0.98,0.2,18.92,1.68
T.J. Warren,6.9500424,13.56,2.6100164,3.46,0.2,4.41,1.1,0.94,0.55,16.71,1.02
Jarrett Allen,4.0799943,7.29,2.2500126,2.97,0.14,6.59,0.94,0.45,1.44,10.56,1.49
Jabari Parker,6.939999,14.85,2.27001,3,1.54,5.55,2.13,0.92,0.38,17.67,1.88
Ricky Rubio,4.4200156,10.78,3.2299935,3.73,1.2,4.58,5.27,1.6,0.13,13.27,2.6
Lou Williams,6.11996,14,4.6899996,5.43,1.69,2.36,4.16,0.97,0.2,18.64,2.33
Kris Dunn,4.830018,11.64,1.5900057,2.19,0.94,4.07,5.67,1.97,0.5,12.18,2.65
Tyreke Evans,5.5699854,12.67,2.4699987,3.21,1.64,4.87,4.01,1.19,0.3,15.26,2.14
Dewayne Dedmon,3.710031,7.58,0.8999978,1.18,0.88,7.4,1.45,0.67,0.91,9.2,1.28
Taurean Prince,4.9899512,11.96,1.8099924,2.12,2.21,4.65,2.48,1.17,0.56,14.01,2.18
JJ Redick,5.4199916,11.98,2.6199992,2.92,2.68,2.43,2.72,0.47,0.08,16.14,1.34
Buddy Hield,5.4100316,12.44,1.0000055,1.15,2.45,3.99,2.02,1.13,0.25,14.27,1.64
Derrick Favors,4.6099662,8.61,1.599999,2.41,0.24,6.58,1.25,0.77,0.92,11.06,1.1
Allen Crabbe,4.7199688,11.38,1.499995,1.75,2.86,3.98,1.44,0.68,0.4,13.8,0.92
Jeremy Lamb,4.7300037,10.33,2.229994,2.6,1.14,4.56,2.07,0.77,0.45,12.82,0.99
Brook Lopez,4.620025,10.21,1.630001,2.15,1.51,4.41,1.7,0.41,1.33,12.38,1.33
Trevor Ariza,4.0900155,9.85,1.3199988,1.66,2.17,5.26,1.93,1.28,0.18,11.66,1.24
Jusuf Nurkic,5.9899996,12.22,2.2199991,3.63,0,9.07,1.89,0.87,1.48,14.2,2.46
Kent Bazemore,4.4600445,10.95,2.1499909,2.77,1.66,4.04,3.02,1.49,0.74,12.73,2.23
Taj Gibson,4.7599727,8.89,1.6499925,2.25,0.1,6.76,1.17,0.72,0.63,11.26,1.04
