player,FGM,FTM,TPM,PTS,REB,AST,STL,BLK,TO,FGA,FTA
Glenn Robinson III,3.1,1.4,0.8,8.4,2.9,0.8,0.6,0.4,0.7,7.2,1.7
Andre Iguodala,1.8,0.5,0.6,4.7,3,2.6,0.7,0.7,0.6,3.6,0.8
Jacob Evans III,2.7,0.8,0.9,7,2.2,2.9,0.5,0.3,1.1,6,1.1
Cheick Diallo,2.4,0.7,0,5.4,4.7,0.5,0.4,0.5,0.7,3.8,0.9
Raul Neto,2.5,1,0.6,6.6,2.1,3.1,0.5,0.1,1.1,5.4,1.1
Bryn Forbes,3.3,0.6,1.6,8.8,2.2,1.6,0.4,0,0.7,7.3,0.8
Ed Davis,2.2,1.1,0,5.5,8.1,0.8,0.4,0.4,0.7,3.5,1.9
Markelle Fultz ,3.5,1.1,0.2,8.3,3.5,3,0.8,0.3,1.2,8,1.9
Doug McDermott,2.9,1,1.2,8.1,1.5,1,0.2,0.1,0.5,6,1.1
Nassir Little,2.8,1.5,0.5,7.6,4,0.9,0.6,0.4,1.1,6.4,2.1
Frank Kaminsky,2.7,1.6,1,7.9,3.2,1.2,0.3,0.3,0.8,5.8,2.1
Jordan Loyd,1.9,2.2,0.8,6.9,2.2,1.4,0,0,0.5,4.1,2.5
Quinn Cook,3.3,0.4,1.3,8.3,2.5,1.8,0.3,0,0.8,6.9,0.5
Langston Galloway,2.8,1,1.6,8.2,2,1.1,0.5,0.1,0.3,7,1.2
Austin Rivers,3.5,0.7,1.5,9.3,2,2.1,0.5,0.3,0.8,8.3,1.2
Justin Holiday,2.1,0.7,1.1,6.1,2.3,1,0.9,0.3,0.7,5.4,0.8
Jordan McRae,2.8,1.2,0.5,7.2,1.8,1.3,0.6,0.2,0.7,5.7,1.6
Bruno Caboclo,2,0.9,1,5.9,3.3,1.1,0.3,0.7,0.7,4.7,1.1
E'Twaun Moore,3.3,0.6,1,8.1,1.6,1.3,0.5,0.1,0.7,6.8,0.8
Carsen Edwards,2.4,1.5,1.3,7.6,1.8,1.4,0.6,0.2,1.1,6,2
Zhaire Smith,2.6,1.1,1.1,7.6,2.5,1.9,0.3,0.3,1.1,6.5,1.5
Terrance Ferguson,2.7,0.5,1.5,7.5,2.1,1.1,0.5,0.2,0.6,6.3,0.8
DeMarre Carroll,2.5,2,1.2,8.3,3.9,1,0.3,0.1,0.8,6.4,2.7
Allen Crabbe ,2.6,0.8,1.8,7.7,2.7,0.9,0.4,0.2,0.8,6.4,1
Michael Porter Jr ,2.8,1.4,0.7,7.7,3.3,0.8,0.6,0.2,1.1,6.8,1.8
Patty Mills,2.5,0.8,1.4,7.1,1.6,2.2,0.4,0.1,0.8,5.8,0.9
Bismack Biyombo,1.9,1.3,0,5,5.3,0.7,0.2,0.9,0.7,3.4,2
David Nwaba,2.5,1.1,0.5,6.6,3.2,1.1,0.7,0.3,0.6,5.2,1.7
Patrick McCaw,2.2,0.6,0.4,5.5,2.2,1.4,1.1,0.1,0.8,5,0.7
Jae Crowder,2.5,1.1,1.4,7.5,3,1.1,0.5,0.2,0.6,6.2,1.6
Michael Carter-Williams,2,1.4,0.5,6,3.2,3.2,0.8,0.8,0.8,5.6,2.4
Torrey Craig,2,0.7,0.8,5.4,3.3,0.9,0.5,0.6,0.5,4.5,0.9
Matthew Dellavedova,2.2,1,1,6.5,1.8,4.3,0.3,0,1.5,5.6,1.2
Reggie Bullock ,2.5,0.8,1.5,7.2,1.7,1.3,0.4,0.1,0.6,6,0.8
Sterling Brown,2.7,0.5,1,6.8,3.4,1.5,0.4,0.1,0.8,5.7,0.7
Nickeil Alexander-Walker,2.2,1.2,0.6,6.2,1.9,1.8,0.7,0.3,1.1,4.9,1.7
Anthony Tolliver,1.9,0.9,1.5,6.2,3.4,0.9,0.4,0.4,0.7,5.1,1.1
DJ Wilson,2.2,0.6,1,6,4.6,1.1,0.4,0.4,0.7,4.8,1
Wilson Chandler ,2,0.4,1.1,5.5,3.8,1.5,0.4,0.4,0.8,4.9,0.5
Damyean Dotson ,2.8,0.7,1.2,7.4,2.5,1.2,0.5,0.1,0.7,6.6,0.9
Tim Frazier,1.8,0.6,0.5,4.7,2.6,3.7,0.4,0.1,1.1,3.9,0.8
Grayson Allen,3.1,2.1,1.4,9.7,1.2,1.2,0.2,0.3,1.5,8.1,2.7
Alex Caruso,1.9,1.2,0.6,5.5,1.6,1.8,0.6,0.2,1,4.1,1.5
Garrett Temple,2,0.8,0.8,5.5,2,1,0.7,0.3,0.6,4.6,1
Damian Jones,1.6,0.7,0,4,2.3,0.9,0.4,0.7,0.5,2.3,1.1
Allonzo Trier,2.3,1.8,0.5,7,2,1.2,0.2,0.1,1.1,5.2,2.3
Pau Gasol,1.5,1,0.2,4.2,4.5,1.7,0.2,0.5,0.5,3.1,1.3
Romeo Langford,2.4,1.4,0.8,6.9,2.6,1.2,0.4,0.4,1,5.6,1.9
Luke Kornet,1.7,0.6,1.1,5.1,2.1,0.9,0.4,0.7,0.4,4.6,0.7
Justin Jackson,2.3,0.7,0.9,6.2,2.2,1,0.3,0.2,0.3,5.1,0.8
Deyonta Davis,1.6,0.7,0,3.9,3.7,0.6,0.3,0.6,0.3,2.3,1.1
Mike Scott,2.3,0.3,1.4,6.2,3.6,0.9,0.3,0.2,0.5,5.7,0.4
Tony Bradley,2.4,0.3,0,5,4.4,0.3,0.6,0.6,0.8,4.6,0.6
Hamidou Diallo,2.8,1.3,0.2,7,3.5,0.6,0.7,0.4,0.9,5.9,2.2
Courtney Lee,2.1,0.5,0.7,5.5,2.1,1.5,0.8,0.1,0.5,5.1,0.8
Jonah Bolden,1.6,0.3,0.7,4.1,3.3,0.8,0.3,0.8,0.7,3.2,0.5
Bol Bol,1.9,1.1,0.3,5.2,2.8,0.5,0.3,0.6,0.6,3.9,1.4
Omari Spellman,1.8,0.6,0.8,5,3.6,0.8,0.4,0.5,0.6,4.5,0.8
Wayne Ellington,2.1,0.4,1.6,6.2,1.3,0.8,0.6,0.1,0.5,5.2,0.5
Evan Turner,2.1,0.8,0.2,5.2,3.4,3,0.4,0.2,1.2,4.7,1.1
Ivan Rabb,2.1,0.9,0.1,5.1,3.6,0.9,0.2,0.3,0.6,3.7,1.2
Skal Labissiere,2.2,0.7,0.6,5.7,3.5,0.9,0.4,0.6,0.9,4,1.5
Furkan Korkmaz,2,0.8,1,5.8,2.2,1.1,0.6,0,0.5,5.1,1
Donte DiVincenzo,2.1,0.3,0.9,5.4,2.7,1.2,0.5,0.2,0.7,5.1,0.4
JJ Barea ,2.7,0.9,0.6,6.9,1.6,3.6,0.4,0,1.2,6.4,1.3
Juancho Hernangomez,1.7,0.8,0.8,4.8,3.2,0.7,0.3,0.3,0.4,3.8,1
Georges Niang,2.2,0.4,1,5.8,2.1,0.9,0.3,0.1,0.5,4.4,0.6
Rodney McGruder,2.3,0.6,1,6.1,2.9,1.4,0.4,0.2,0.8,5.6,0.9
Duncan Robinson,2.4,0.6,1.4,6.7,2.4,0.6,0.6,0,0.6,6.1,0.8
Gary Clark,1.3,0.1,1.1,3.9,3.1,0.5,0.5,0.7,0.1,4,0.1
Khem Birch,1.5,1,0,3.9,3.1,0.7,0.3,0.5,0.3,2.4,1.4
Brandon Knight,2.5,0.7,1.1,6.8,1.6,1.8,0.5,0.1,0.8,6.7,0.9
Yogi Ferrell,1.9,0.7,0.7,5.1,1.3,1.6,0.4,0.1,0.4,4.1,0.8
TJ Leaf,2.4,0.4,0.1,5.3,3.1,0.6,0.3,0.4,0.3,4.5,0.7
Frank Jackson,2.8,0.8,0.8,7.2,1.9,1,0.3,0,0.7,6.4,1.1
Devonte' Graham,1.8,0.9,0.8,5.4,1.6,3,0.5,0,0.8,5.4,1.1
Elie Okobo,2.1,0.7,0.7,5.4,1.7,2.2,0.5,0.1,1.1,5.1,0.8
Chuma Okeke,1.5,0.9,0.4,4.3,2.4,0.8,0.5,0.4,0.6,3.4,1.2
Justin Wright-Foreman,1.8,1.1,0.7,5.4,1.3,0.9,0.3,0.1,0.7,4,1.3
Sekou Doumbouya,1.6,0.9,0.3,4.4,2.9,0.7,0.6,0.6,1,4.2,1.3
Kenrich Williams,1.4,0.2,0.7,3.8,3,1.1,0.6,0.3,0.5,3.8,0.3
Jared Dudley,1.6,0.4,0.8,4.3,2.1,1.1,0.4,0.2,0.5,3.5,0.5
Ian Mahinmi,1.2,1,0.1,3.6,3.3,0.6,0.6,0.4,0.5,2.7,1.6
Thon Maker,1.4,0.8,0.7,4.2,2.6,0.6,0.2,0.7,0.4,3.5,1.1
Keldon Johnson,2.1,1.2,0.5,5.9,2.8,0.9,0.4,0.2,0.8,5.1,1.7
Kevin Porter Jr,2,1.2,0.7,5.7,2.6,1.1,0.5,0.3,1,4.6,1.9
Daniel Gafford,1.9,1,0.1,4.8,3,0.4,0.3,0.5,0.7,3.9,1.5
Nicolas Claxton,1.6,0.9,0.2,4.3,2.7,0.7,0.4,0.6,0.6,3.9,1.3
Troy Daniels,1.9,0.3,1.3,5.4,1.3,0.4,0.4,0.1,0.4,4.6,0.4
Ryan Arcidiacono,1.2,0.6,0.5,3.5,1.4,1.7,0.4,0.1,0.4,2.7,0.7
Isaiah Hartenstein,0.9,0.5,0.1,2.5,2.3,0.7,0.4,0.5,0.6,2,0.7
Khyri Thomas,1.8,0.7,0.9,5.2,1.8,0.7,0.6,0.4,0.4,6,0.9
Shake Milton,1.6,0.3,0.7,4.2,1.6,0.8,0.4,0.4,0.3,4,0.4
Admiral Schofield,1.6,1,0.5,4.7,2.1,0.8,0.3,0.2,0.6,3.8,1.3
Ignas Brazdeikis,1.7,1,0.5,4.7,2.1,0.5,0.3,0.2,0.5,4,1.3
Darius Bazley,1.6,0.9,0.3,4.3,2,0.4,0.3,0.5,1,3.7,1.1
Jemerrio Jones,0.9,0.1,0.1,2,3.6,1,0.5,0.4,0.3,2.4,0.1
Cristiano Felicio,1.6,0.8,0,4.1,3.7,0.6,0.2,0.1,0.6,3,1.2
Chandler Hutchison ,1.8,0.4,0.2,4.3,3.5,0.7,0.4,0.1,0.5,4,0.7
Antonio Blakeney,2.5,0.8,0.5,6.4,1.6,0.6,0.2,0.2,0.5,6,1.1
John Henson,1.2,0.2,0.4,3.1,2.7,0.5,0.3,0.4,0.5,2.6,0.4
Frank Ntilikina,1.7,0.4,0.6,4.3,1.5,2.1,0.5,0.2,0.9,5,0.5
Wes Iwundu,1.2,0.8,0.3,3.5,1.9,0.8,0.3,0.2,0.4,2.8,1
Jordan Poole,1.4,0.9,0.6,4.3,1.2,0.8,0.4,0.1,0.6,3.7,1.1
Chandler Parsons,1.4,0.5,0.6,4,1.5,0.9,0.4,0.1,0.7,3.9,0.5
Ty Jerome,1.2,0.7,0.5,3.7,1.3,1.5,0.4,0.1,0.5,3.1,1
Luka Samanic,1.7,0.9,0.2,4.6,3.1,0.6,0.3,0.3,0.7,3.8,1.5
Jerome Robinson,1.7,0.3,0.7,4.3,1.6,0.8,0.4,0.1,0.5,4.3,0.4
KZ Okpala,1.7,0.9,0.3,4.6,1.8,0.7,0.3,0.2,0.8,4.1,1.3
Deonte Burton,1.4,0.4,0.4,3.7,1.3,0.4,0.3,0.4,0.4,3.6,0.6
Keita Bates-Diop,1.3,0.4,0.3,3.1,1.7,0.4,0.4,0.3,0.3,2.9,0.6
Abdel Nader,1.4,0.4,0.5,3.6,1.8,0.3,0.3,0.2,0.4,3.2,0.6
Semi Ojeleye,1.4,0.5,0.6,3.9,1.8,0.5,0.2,0.1,0.3,3.3,0.8
Jevon Carter,0.8,0.4,0.5,2.5,1,1,0.4,0.2,0.4,2.7,0.5
Treveon Graham,1.1,0.3,0.7,3.2,1.9,0.6,0.2,0.1,0.3,3.4,0.4
Dragan Bender,1,0.4,0.3,2.6,2,0.6,0.2,0.3,0.4,2.2,0.6
Caleb Swanigan,1.1,0.4,0,2.6,3.7,0.6,0.4,0,1.1,3.1,0.5
Melvin Frazier ,1.8,0.7,0.3,4.5,1.3,0.3,0.3,0,0.3,4.7,1
Dzanan Musa,2.9,0,0.3,6,1.4,0.6,0.5,0,1.1,6.9,0.6
Ryan Anderson,0.7,0.4,0.3,2,1.7,0.7,0.2,0,0.5,2.3,0.5
Gary Trent Jr,1.1,0.2,0.4,2.8,0.8,0.3,0.1,0.1,0.3,3,0.3
Alize Johnson,0.6,0.6,0.2,1.8,2.6,0.2,0.2,0.4,0,2,1.1
Isaac Bonga,0.2,0.5,0,0.9,1.3,0.8,0.4,0.2,0.3,1.7,0.8
