player,FGM,FTM,TPM,PTS,REB,AST,STL,BLK,TO,FGA,FTA
Kyle Kuzma ,6.6,2.5,1.7,17.3,5.1,2.3,0.5,0.4,1.7,14.3,3.3
Kelly Olynyk ,4,2.3,1.7,11.9,5.6,2.1,0.8,0.6,1.6,8.5,2.7
Dwight Powell,4.1,2.7,0.5,11.4,5.7,1.6,0.6,0.7,0.9,6.7,3.5
Dejounte Murray,5.5,1.8,0.1,13,6.3,4,1.4,0.5,2.2,12,2.5
Jarrett Allen,3.8,2.4,0.1,10.1,8.1,1.3,0.5,1.4,1.2,6.4,3.4
Nicolas Batum,4.7,1,1.6,12.1,5.3,4.7,0.9,0.6,1.6,11,1.2
Taurean Prince,5,1.8,2.3,14.1,4,2.2,1,0.3,1.8,11.3,2.2
Mikal Bridges,3.6,1.3,1.5,10.1,3.7,2.3,1.7,0.6,0.9,8.1,1.6
Evan Fournier,6,1.8,2,15.8,3.3,3.7,0.9,0.1,1.9,13.6,2.2
Kent Bazemore,4.8,2.1,1.7,13.3,4.3,2.5,1.4,0.7,1.9,11.4,2.9
Reggie Jackson,5.3,2.5,2.1,15.1,2.5,4.1,0.7,0.1,1.7,12.5,2.8
Derrick Rose,5.4,2.7,1.1,14.7,2.7,4.3,0.6,0.2,1.5,12.3,3.1
Jerami Grant,4.8,1.9,1.3,12.7,4.8,0.9,0.7,1.2,0.7,9.6,2.6
Eric Gordon,5.6,1.8,3.2,16.2,2.2,1.9,0.6,0.4,1.2,13,2.2
Darius Garland,5.2,2.8,2.1,15.1,3.6,2.9,0.8,0.1,2.3,11.4,3.5
DJ Augustin,4.1,2.3,1.7,12.2,2.6,5.6,0.6,0,1.6,8.8,2.7
Jarrett Culver,4.4,2.6,1.5,12.9,5.1,3.2,1.3,0.3,1.8,10.1,3.6
Danny Green,3.9,0.5,2.7,11.1,4.2,1.7,0.9,0.7,0.9,8.4,0.6
Ivica Zubac,4.1,2.3,0,10.5,8.5,1.6,0.4,1.1,1.6,7.7,3
Joe Harris,5.1,1.5,2.5,14.2,4,2.5,0.5,0.2,1.6,10.5,1.9
Jaylen Brown,5.9,2.1,1.5,15.5,4.9,1.6,1,0.5,1.5,12.6,3.2
Brandon Clarke,4.4,1.7,0.2,10.6,6,1.4,0.7,1.5,0.9,8.3,2.3
Justise Winslow,5.4,1.4,1.6,13.9,5.9,4.7,1.1,0.3,2.3,12.4,2.3
Bogdan Bogdanovic,4.7,1.9,1.9,13.1,3.4,3.7,0.9,0.2,1.6,10.9,2.3
Kevin Huerter,5.4,0.6,2.4,13.8,3.7,3.2,1.1,0.3,1.6,12.5,0.8
Thaddeus Young,4.9,1,0.5,11.3,5.8,2.2,1.3,0.4,1.3,9.2,1.5
De'Andre Hunter,4.1,2.4,1.6,12.1,4.6,2.2,1.1,0.3,1.3,8.9,3.2
Jusuf Nurkic ,3.9,3.2,0,10.9,8.2,2.7,0.9,1.1,2,8,4.7
Joe Ingles,4.2,1,2.2,11.5,3.8,4.7,1.1,0.2,2.1,9.2,1.4
Bobby Portis,5.2,1.6,1.4,13.4,7.4,1.5,0.7,0.4,1.5,11.7,2
Davis Bertans,3.7,1,2.6,11,4.8,1.8,0.7,0.5,0.8,8.2,1.1
Cedi Osman,4.9,2,1.8,13.6,4.9,2.7,0.8,0.1,1.5,11.1,2.6
