player,GP
Bruno Caboclo,30.5
Josh Huestis,12.5
Joel Bolomboy,20
Mike Scott,26
Daniel Theis,20
Chasson Randle,27.5
Troy Williams,27.5
Cameron Oliver,20
Damian Jones,34.5
Sindarius Thornwell,22.5
Derrick White,27.5
Treveon Graham,26.5
Justin Patton,45
Pat Connaughton,37.5
Caleb Swanigan,42.5
Sterling Brown,21.5
Raul Neto,35
Kay Felder,35
Damyean Dotson,22.5
Thomas Bryant,22.5
Royce O'Neale,20
Jawun Evans,22.5
Ike Anigbogu,25
Jordan Mickey,20
Tony Bradley,32.5
Elijah Millsap,20
Dillon Brooks,20
Shelvin Mack,32.5
Kyle Wiltjer,29
Davon Reed,20
Wesley Iwundu,20
Jarell Martin,35
Isaiah Hicks,20
Semi Ojeleye,10.5
Damien Wilkins,25
Okaro White,32.5
Abdel Nader,37.5
Josh McRoberts,37.5
Cedi Osman,25
Udonis Haslem,30
A.J. Hammons,28.5
Tim Quarterman,20
Dakari Johnson,24
Nick Collison,27.5
Eric Moreland,42.5
P.J. Dozier,30
Julyan Stone,30
Jake Layman,30
Wayne Selden,25
Daniel Ochefu,27.5
Frank Jackson,45
Isaiah Taylor,20
Vander Blue,22.5
James Ennis III,68
Luc Richard Mbah a Moute,74
Spencer Hawes,50
Juancho Hernangomez,60
Briante Weber,20
Jabari Bird,70
Bobby Brown,30
Gary Payton II,24
C.J. Wilcox,38
Edy Tavares,38
Kadeem Allen,1
